WRN 2026-06-03T21:44:58.263 ui.551429  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-03T21:44:58.263 ui.551429  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-03T21:44:58.263 ui.551429  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-03T21:44:58.263 ui.551429  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-03T21:44:58.263 ui.551429  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-03T21:46:21.195 ui.560794  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-03T21:46:21.195 ui.560794  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-03T21:46:21.195 ui.560794  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-03T21:46:21.195 ui.560794  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-03T21:46:21.195 ui.560794  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-03T21:46:55.229 ui.564596  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-03T21:46:55.229 ui.564596  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-03T21:46:55.229 ui.564596  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-03T21:46:55.229 ui.564596  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-03T21:46:55.229 ui.564596  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-03T21:47:16.345 ui.567024  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-03T21:47:16.345 ui.567024  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-03T21:47:16.345 ui.567024  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-03T21:47:16.345 ui.567024  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-03T21:47:16.345 ui.567024  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
